epoch,learning_rate,validation_balanced_accuracy,distinct_classes,train,validation,checkpoint_selection_metric,checkpoint_improved,best_validation_loss_so_far,stale_epochs,epoch_duration_seconds,estimated_stage_remaining_seconds,selected_checkpoint,restored_validation_loss
0,2.9999999999999997e-05,0.13333333333333333,3,1.5453336636225383,1.5892901420593262,validation_joint_loss,True,1.5892901420593262,0,0.1105644702911377,27.62601399421692,False,1.4044504165649414
1,5.9999999999999995e-05,0.06666666666666667,3,1.332211971282959,1.5613327026367188,validation_joint_loss,True,1.5613327026367188,0,0.11099576950073242,27.590306282043457,False,1.4044504165649414
2,8.999999999999999e-05,0.13333333333333333,3,1.3458096583684285,1.5456254482269287,validation_joint_loss,True,1.5456254482269287,0,0.18666315078735352,33.73231315612793,False,1.4044504165649414
3,0.00011999999999999999,0.3,3,0.9871179262797037,1.521530270576477,validation_joint_loss,True,1.521530270576477,0,0.24680089950561523,40.418861746788025,False,1.4044504165649414
4,0.00015,0.5333333333333333,2,1.0151832302411397,1.4951757192611694,validation_joint_loss,True,1.4951757192611694,0,0.24466252326965332,44.21809148788452,False,1.4044504165649414
5,0.00017999999999999998,0.3666666666666667,3,0.937301774819692,1.4716966152191162,validation_joint_loss,True,1.4716966152191162,0,0.14422917366027832,42.593122482299805,False,1.4044504165649414
6,0.00020999999999999998,0.3666666666666667,3,0.9795347253481547,1.4504570960998535,validation_joint_loss,True,1.4504570960998535,0,0.10938668251037598,40.17770637784685,False,1.4044504165649414
7,0.00023999999999999998,0.43333333333333335,2,0.9751900235811869,1.4646464586257935,validation_joint_loss,False,1.4504570960998535,1,0.10871434211730957,38.32168585062027,False,1.4044504165649414
8,0.00027,0.26666666666666666,2,0.7821575005849203,1.4500669240951538,validation_joint_loss,True,1.4500669240951538,0,0.1927647590637207,39.101187547047935,False,1.4044504165649414
9,0.0003,0.4777777777777778,3,0.8257832924524943,1.4371230602264404,validation_joint_loss,True,1.4371230602264404,0,0.15490388870239258,38.826765060424805,False,1.4044504165649414
10,0.0003,0.4777777777777778,3,0.5913304090499878,1.4357445240020752,validation_joint_loss,True,1.4357445240020752,0,0.11322236061096191,37.62353699857539,False,1.4044504165649414
11,0.000299987149136101,0.4777777777777778,3,0.6909428040186564,1.4060300588607788,validation_joint_loss,True,1.4060300588607788,0,0.11057686805725098,36.55454854170481,False,1.4044504165649414
