epoch,learning_rate,validation_balanced_accuracy,distinct_classes,train,validation,checkpoint_selection_metric,checkpoint_improved,best_validation_loss_so_far,stale_epochs,epoch_duration_seconds,estimated_stage_remaining_seconds,selected_checkpoint,restored_validation_loss
0,2.9999999999999997e-05,0.047619047619047616,3,1.7476774752140045,1.9432011842727661,validation_joint_loss,True,1.9432011842727661,0,0.13049650192260742,32.56017851829529,False,0.9863479733467102
1,5.9999999999999995e-05,0.047619047619047616,3,1.7028314769268036,1.9173811674118042,validation_joint_loss,True,1.9173811674118042,0,0.1485891342163086,34.68998908996582,False,0.9863479733467102
2,8.999999999999999e-05,0.047619047619047616,3,1.6030689477920532,1.8781630992889404,validation_joint_loss,True,1.8781630992889404,0,0.1389172077178955,34.51306867599487,False,0.9863479733467102
3,0.00011999999999999999,0.047619047619047616,3,1.6250453889369965,1.8253720998764038,validation_joint_loss,True,1.8253720998764038,0,0.12970900535583496,33.7810674905777,False,0.9863479733467102
4,0.00015,0.09523809523809523,3,1.4932139217853546,1.7681130170822144,validation_joint_loss,True,1.7681130170822144,0,0.1308138370513916,33.351452589035034,False,0.9863479733467102
5,0.00017999999999999998,0.09523809523809523,3,1.410437434911728,1.7048346996307373,validation_joint_loss,True,1.7048346996307373,0,0.1299898624420166,32.9847141901652,False,0.9863479733467102
6,0.00020999999999999998,0.09523809523809523,3,1.3336248993873596,1.6401787996292114,validation_joint_loss,True,1.6401787996292114,0,0.13700580596923828,32.9316120488303,False,0.9863479733467102
7,0.00023999999999999998,0.09523809523809523,3,1.3150238692760468,1.571336269378662,validation_joint_loss,True,1.571336269378662,0,0.133012056350708,32.73455375432968,False,0.9863479733467102
8,0.00027,0.14285714285714285,3,1.311757743358612,1.5026782751083374,validation_joint_loss,True,1.5026782751083374,0,0.16716432571411133,33.46664232677884,False,0.9863479733467102
9,0.0003,0.14285714285714285,3,1.2694352269172668,1.4451723098754883,validation_joint_loss,True,1.4451723098754883,0,0.34759521484375,38.34768104553223,False,0.9863479733467102
10,0.0003,0.14285714285714285,3,1.1675363034009933,1.3989489078521729,validation_joint_loss,True,1.3989489078521729,0,0.2481708526611328,40.12030870264226,False,0.9863479733467102
11,0.000299987149136101,0.19047619047619047,3,1.159184217453003,1.3622779846191406,validation_joint_loss,True,1.3622779846191406,0,0.15178465843200684,39.64079157511393,False,0.9863479733467102
