epoch,learning_rate,validation_balanced_accuracy,distinct_classes,train,validation,checkpoint_selection_metric,checkpoint_improved,best_validation_loss_so_far,stale_epochs,epoch_duration_seconds,estimated_stage_remaining_seconds,selected_checkpoint,restored_validation_loss
0,2.9999999999999997e-05,0.35984848484848486,2,1.682878511292594,1.395612120628357,validation_joint_loss,True,1.395612120628357,0,0.2464289665222168,61.41863536834717,False,1.2847312688827515
1,5.9999999999999995e-05,0.32954545454545453,2,1.5147328887666975,1.3812745809555054,validation_joint_loss,True,1.3812745809555054,0,0.22765779495239258,58.85747528076172,False,1.2847312688827515
2,8.999999999999999e-05,0.2878787878787879,2,1.5821844169071742,1.3644543886184692,validation_joint_loss,True,1.3644543886184692,0,0.2578907012939453,60.35227998097738,False,1.2847312688827515
3,0.00011999999999999999,0.3409090909090909,2,1.5221453734806605,1.3448535203933716,validation_joint_loss,True,1.3448535203933716,0,0.2025899887084961,57.564197301864624,False,1.2847312688827515
4,0.00015,0.3106060606060606,2,1.4230272599628992,1.3264564275741577,validation_joint_loss,True,1.3264564275741577,0,0.2426309585571289,57.77538776397705,False,1.2847312688827515
5,0.00017999999999999998,0.3106060606060606,2,1.347036600112915,1.3100773096084595,validation_joint_loss,True,1.3100773096084595,0,0.20362019538879395,56.247415701548256,False,1.2847312688827515
6,0.00020999999999999998,0.3522727272727273,2,1.3520379066467285,1.311589002609253,validation_joint_loss,False,1.3100773096084595,1,0.3334977626800537,59.6065890107836,False,1.2847312688827515
7,0.00023999999999999998,0.3522727272727273,2,1.2502950429916382,1.3042539358139038,validation_joint_loss,True,1.3042539358139038,0,0.42422962188720703,64.78434878587723,False,1.2847312688827515
8,0.00027,0.3522727272727273,3,1.2104036126817976,1.3069583177566528,validation_joint_loss,False,1.3042539358139038,1,0.19608330726623535,62.61159817377727,False,1.2847312688827515
9,0.0003,0.3106060606060606,3,1.1546811376299178,1.299362301826477,validation_joint_loss,True,1.299362301826477,0,0.231553316116333,61.681766510009766,False,1.2847312688827515
10,0.0003,0.268939393939394,3,1.133221983909607,1.2847312688827515,validation_joint_loss,True,1.2847312688827515,0,0.26540613174438477,61.61811475320296,True,1.2847312688827515
11,0.000299987149136101,0.268939393939394,3,1.0883036937032426,1.292467474937439,validation_joint_loss,False,1.2847312688827515,1,0.1831669807434082,59.8869111140569,False,1.2847312688827515
12,0.00029994859874633357,0.3106060606060606,3,1.043487582887922,1.2982631921768188,validation_joint_loss,False,1.2847312688827515,2,0.20688962936401367,58.82816692499014,False,1.2847312688827515
13,0.00029988435543610843,0.3106060606060606,3,1.06866740328925,1.323809266090393,validation_joint_loss,False,1.2847312688827515,3,0.39469313621520996,61.05686848504203,False,1.2847312688827515
14,0.000299794430213186,0.3106060606060606,3,0.9751446928296771,1.3692046403884888,validation_joint_loss,False,1.2847312688827515,4,0.21447277069091797,60.11157520612082,False,1.2847312688827515
15,0.0002996788384857905,0.3106060606060606,3,1.0179260969161987,1.3791524171829224,validation_joint_loss,False,1.2847312688827515,5,0.19010543823242188,58.90023010969162,False,1.2847312688827515
16,0.00029953760005996916,0.3106060606060606,3,1.0095950024468558,1.3909766674041748,validation_joint_loss,False,1.2847312688827515,6,0.1927480697631836,57.84758145668928,False,1.2847312688827515
17,0.0002993707391361992,0.3106060606060606,3,0.9533585735729763,1.3886125087738037,validation_joint_loss,False,1.2847312688827515,7,0.20866608619689941,57.09345499674479,False,1.2847312688827515
