epoch,learning_rate,validation_balanced_accuracy,distinct_classes,train,validation,checkpoint_selection_metric,checkpoint_improved,best_validation_loss_so_far,stale_epochs,epoch_duration_seconds,estimated_stage_remaining_seconds,selected_checkpoint,restored_validation_loss
0,2.9999999999999997e-05,0.4861111111111111,3,1.6592228889465332,2.106855869293213,validation_joint_loss,True,2.106855869293213,0,0.4836125373840332,120.48043155670166,False,1.2319986820220947
1,5.9999999999999995e-05,0.4861111111111111,3,1.603859806060791,1.9536683559417725,validation_joint_loss,True,1.9536683559417725,0,0.5638036727905273,129.9724407196045,False,1.2319986820220947
2,8.999999999999999e-05,0.5069444444444444,3,1.557499635219574,1.7660791873931885,validation_joint_loss,True,1.7660791873931885,0,0.3918159008026123,118.61510554949443,False,1.2319986820220947
3,0.00011999999999999999,0.5291666666666667,3,1.468589448928833,1.5721924304962158,validation_joint_loss,True,1.5721924304962158,0,0.3832719326019287,112.20121264457703,False,1.2319986820220947
4,0.00015,0.48333333333333334,3,1.3900052428245544,1.4450361728668213,validation_joint_loss,True,1.4450361728668213,0,0.34977245330810547,106.57040643692017,False,1.2319986820220947
5,0.00017999999999999998,0.15,3,1.3872002959251404,1.3459787368774414,validation_joint_loss,True,1.3459787368774414,0,0.36186671257019043,103.1822288831075,False,1.2319986820220947
6,0.00020999999999999998,0.15,3,1.340125846862793,1.3019688129425049,validation_joint_loss,True,1.3019688129425049,0,0.5802857875823975,108.2387135369437,False,1.2319986820220947
7,0.00023999999999999998,0.15,3,1.2835840940475465,1.2803518772125244,validation_joint_loss,True,1.2803518772125244,0,0.4801328182220459,108.85867142677307,False,1.2319986820220947
8,0.00027,0.21527777777777776,3,1.2628597974777223,1.2776868343353271,validation_joint_loss,True,1.2776868343353271,0,0.3432004451751709,105.56576736768086,False,1.2319986820220947
9,0.0003,0.2388888888888889,3,1.2309151470661164,1.287799596786499,validation_joint_loss,False,1.2776868343353271,1,0.3705117702484131,103.51888275146484,False,1.2319986820220947
10,0.0003,0.1722222222222222,3,1.2096938252449037,1.2794333696365356,validation_joint_loss,False,1.2776868343353271,2,0.3038356304168701,100.32851164991204,False,1.2319986820220947
11,0.000299987149136101,0.21527777777777776,3,1.1777951002120972,1.2340147495269775,validation_joint_loss,True,1.2340147495269775,0,0.3211538791656494,97.97057259082794,False,1.2319986820220947
12,0.00029994859874633357,0.21527777777777776,3,1.142725443840027,1.2487800121307373,validation_joint_loss,False,1.2340147495269775,1,0.35187268257141113,96.47874003190262,False,1.2319986820220947
13,0.00029988435543610843,0.23750000000000002,3,1.1236566185951233,1.2571560144424438,validation_joint_loss,False,1.2340147495269775,2,0.3990969657897949,95.94542190006801,False,1.2319986820220947
14,0.000299794430213186,0.21527777777777776,3,1.0881043314933776,1.2319986820220947,validation_joint_loss,True,1.2319986820220947,0,0.38346004486083984,95.18401757876079,True,1.2319986820220947
15,0.0002996788384857905,0.21527777777777776,3,1.0610013067722321,1.25146484375,validation_joint_loss,False,1.2319986820220947,1,0.6332342624664307,98.12402218580246,False,1.2319986820220947
16,0.00029953760005996916,0.25972222222222224,3,1.0804672718048096,1.2727633714675903,validation_joint_loss,False,1.2319986820220947,2,19.987163305282593,365.90791525560263,False,1.2319986820220947
17,0.0002993707391361992,0.21527777777777776,3,1.0729230105876923,1.286818027496338,validation_joint_loss,False,1.2319986820220947,3,6.227488040924072,428.16142813364667,False,1.2319986820220947
18,0.00029917828430524096,0.21527777777777776,3,1.0159237325191497,1.2747563123703003,validation_joint_loss,False,1.2319986820220947,4,10.976785898208618,537.3400797091032,False,1.2319986820220947
19,0.00029896026854323894,0.19444444444444442,3,1.0321491599082946,1.262105107307434,validation_joint_loss,False,1.2319986820220947,5,0.4067816734313965,512.9605655670166,False,1.2319986820220947
20,0.00029871672920607153,0.19444444444444442,3,1.0224449574947356,1.269811749458313,validation_joint_loss,False,1.2319986820220947,6,0.29804491996765137,489.66585611161736,False,1.2319986820220947
21,0.0002984477080229505,0.19444444444444442,3,1.009766983985901,1.290235161781311,validation_joint_loss,False,1.2319986820220947,7,0.32456231117248535,468.7363466783003,False,1.2319986820220947
22,0.00029815325108927063,0.19444444444444442,3,0.9638219356536866,1.3003658056259155,validation_joint_loss,False,1.2319986820220947,8,0.4910459518432617,451.2411223079847,False,1.2319986820220947
23,0.00029783340885871165,0.19444444444444442,3,0.9887556910514832,1.2777122259140015,validation_joint_loss,False,1.2319986820220947,9,0.4872899055480957,435.12774181365967,False,1.2319986820220947
24,0.00029748823613459316,0.19444444444444442,3,0.9453687012195587,1.2922284603118896,validation_joint_loss,False,1.2319986820220947,10,0.5405917167663574,420.74420642852783,False,1.2319986820220947
25,0.00029711779206048454,0.19444444444444442,3,0.934038770198822,1.2924569845199585,validation_joint_loss,False,1.2319986820220947,11,0.4444108009338379,406.5968114412748,False,1.2319986820220947
26,0.0002967221401100708,0.1722222222222222,3,0.9392060101032257,1.328125,validation_joint_loss,False,1.2319986820220947,12,0.3175349235534668,392.41660073951437,False,1.2319986820220947
27,0.00029630134807627685,0.19444444444444442,3,0.924940824508667,1.3004395961761475,validation_joint_loss,False,1.2319986820220947,13,0.4619467258453369,380.3708166054317,False,1.2319986820220947
28,0.0002958554880596515,0.19444444444444442,3,0.8770711719989777,1.313700556755066,validation_joint_loss,False,1.2319986820220947,14,0.40631723403930664,368.69998233893824,False,1.2319986820220947
29,0.00029538463645601315,0.1722222222222222,3,0.8886281669139862,1.3071895837783813,validation_joint_loss,False,1.2319986820220947,15,0.3463160991668701,357.3407082557678,False,1.2319986820220947
30,0.0002948888739433602,0.15138888888888888,3,0.8894092917442322,1.345810055732727,validation_joint_loss,False,1.2319986820220947,16,0.3047671318054199,346.3982376360124,False,1.2319986820220947
