epoch,learning_rate,validation_balanced_accuracy,distinct_classes,train,validation,checkpoint_selection_metric,checkpoint_improved,best_validation_loss_so_far,stale_epochs,epoch_duration_seconds,estimated_stage_remaining_seconds,selected_checkpoint,restored_validation_loss
0,2.9999999999999997e-05,0.4920634920634921,3,1.807559996843338,1.5911946296691895,validation_joint_loss,True,1.5911946296691895,0,0.6655542850494385,165.79390025138855,False,1.367992639541626
1,5.9999999999999995e-05,0.40277777777777773,3,1.6002896825472515,1.407027006149292,validation_joint_loss,True,1.407027006149292,0,0.7869389057159424,180.21866035461426,False,1.367992639541626
2,8.999999999999999e-05,0.4087301587301588,3,1.3889552255471547,1.3784253597259521,validation_joint_loss,True,1.3784253597259521,0,0.6966626644134521,177.06527789433798,False,1.367992639541626
3,0.00011999999999999999,0.31547619047619047,3,1.3688700199127197,1.367992639541626,validation_joint_loss,True,1.367992639541626,0,0.6134724617004395,170.0252777338028,True,1.367992639541626
4,0.00015,0.22023809523809523,3,1.209432711203893,1.4291398525238037,validation_joint_loss,False,1.367992639541626,1,0.5584025382995605,162.8511688709259,False,1.367992639541626
5,0.00017999999999999998,0.24603174603174605,3,1.1815465887387593,1.4976835250854492,validation_joint_loss,False,1.367992639541626,2,0.7670392990112305,166.36819950739542,False,1.367992639541626
6,0.00020999999999999998,0.22023809523809523,3,1.1011786957581837,1.4258975982666016,validation_joint_loss,False,1.367992639541626,3,0.7423684597015381,167.80473927089147,False,1.367992639541626
7,0.00023999999999999998,0.21428571428571427,3,1.0484927246967952,1.4571069478988647,validation_joint_loss,False,1.367992639541626,4,0.5778539180755615,163.72080898284912,False,1.367992639541626
8,0.00027,0.23015873015873015,2,1.0118558208147685,1.597872018814087,validation_joint_loss,False,1.367992639541626,5,0.5071322917938232,158.52182253201804,False,1.367992639541626
9,0.0003,0.25396825396825395,3,0.9236273318529129,1.59438955783844,validation_joint_loss,False,1.367992639541626,6,0.4946627616882324,153.96153831481934,False,1.367992639541626
10,0.0003,0.28769841269841273,2,0.8944584826628367,1.7190766334533691,validation_joint_loss,False,1.367992639541626,7,0.5599849224090576,151.56733738292345,False,1.367992639541626
11,0.000299987149136101,0.2698412698412698,3,0.9141180713971456,1.6067497730255127,validation_joint_loss,False,1.367992639541626,8,0.8317570686340332,154.86186969280243,False,1.367992639541626
12,0.00029994859874633357,0.26587301587301587,3,0.8000098019838333,1.921852946281433,validation_joint_loss,False,1.367992639541626,9,0.6733918190002441,154.6335648756761,False,1.367992639541626
13,0.00029988435543610843,0.33730158730158727,3,0.7343729833761851,1.8522828817367554,validation_joint_loss,False,1.367992639541626,10,0.5456235408782959,152.19360637664795,False,1.367992639541626
14,0.000299794430213186,0.34722222222222227,3,0.6274600252509117,1.9991233348846436,validation_joint_loss,False,1.367992639541626,11,0.5624892711639404,150.26690125465393,False,1.367992639541626
15,0.0002996788384857905,0.32142857142857145,3,0.6005005687475204,2.0158724784851074,validation_joint_loss,False,1.367992639541626,12,0.5344462394714355,148.09830701351166,False,1.367992639541626
16,0.00029953760005996916,0.2916666666666667,2,0.4958917001883189,2.4217634201049805,validation_joint_loss,False,1.367992639541626,13,0.7972378730773926,149.72427476153655,False,1.367992639541626
17,0.0002993707391361992,0.27976190476190477,3,0.4792527159055074,2.0127458572387695,validation_joint_loss,False,1.367992639541626,14,0.6400675773620605,149.05477364857992,False,1.367992639541626
18,0.00029917828430524096,0.25,2,0.41907234738270444,2.4942121505737305,validation_joint_loss,False,1.367992639541626,15,0.5593123435974121,147.40689656608984,False,1.367992639541626
19,0.00029896026854323894,0.28174603174603174,2,0.402532326678435,2.8081207275390625,validation_joint_loss,False,1.367992639541626,16,0.49585413932800293,145.13843524456024,False,1.367992639541626
20,0.00029871672920607153,0.2857142857142857,3,0.3857859621445338,2.1195693016052246,validation_joint_loss,False,1.367992639541626,17,0.5103981494903564,143.1972823597136,False,1.367992639541626
21,0.0002984477080229505,0.32341269841269843,3,0.3189389022688071,2.688796043395996,validation_joint_loss,False,1.367992639541626,18,0.8040370941162109,144.42925591902298,False,1.367992639541626
22,0.00029815325108927063,0.33928571428571425,3,0.2872724359234174,2.7845377922058105,validation_joint_loss,False,1.367992639541626,19,0.9525313377380371,146.94934894727623,False,1.367992639541626
23,0.00029783340885871165,0.32341269841269843,3,0.23484104623397192,2.9221649169921875,validation_joint_loss,False,1.367992639541626,20,0.675654411315918,146.5816831588745,False,1.367992639541626
24,0.00029748823613459316,0.32341269841269843,3,0.19673483073711395,2.6964972019195557,validation_joint_loss,False,1.367992639541626,21,0.6118488311767578,145.60704016685486,False,1.367992639541626
25,0.00029711779206048454,0.25595238095238093,3,0.19673257942001024,3.180647373199463,validation_joint_loss,False,1.367992639541626,22,0.9044632911682129,147.18163915780875,False,1.367992639541626
26,0.0002967221401100708,0.33928571428571425,2,0.1673922979583343,3.194312572479248,validation_joint_loss,False,1.367992639541626,23,0.7101230621337891,146.96633761900443,False,1.367992639541626
27,0.00029630134807627685,0.32341269841269843,2,0.19922681897878647,3.6771063804626465,validation_joint_loss,False,1.367992639541626,24,0.7577605247497559,147.09434514386314,False,1.367992639541626
28,0.0002958554880596515,0.2976190476190476,3,0.14083849824965,3.2530856132507324,validation_joint_loss,False,1.367992639541626,25,14.399937152862549,251.12535891861754,False,1.367992639541626
29,0.00029538463645601315,0.28174603174603174,3,0.12354927882552147,3.0949368476867676,validation_joint_loss,False,1.367992639541626,26,0.5779197216033936,245.90143171946207,False,1.367992639541626
30,0.0002948888739433602,0.3333333333333333,3,0.10559474304318428,3.938055992126465,validation_joint_loss,False,1.367992639541626,27,0.5173623561859131,240.54589296156362,False,1.367992639541626
31,0.000294368285468047,0.3650793650793651,2,0.11244187193612258,4.36815071105957,validation_joint_loss,False,1.367992639541626,28,0.6069469451904297,236.10280749201775,False,1.367992639541626
32,0.00029382296023022894,0.28174603174603174,3,0.10626845931013425,3.846440553665161,validation_joint_loss,False,1.367992639541626,29,0.7521054744720459,232.84712480053759,False,1.367992639541626
33,0.00029325299166857796,0.2976190476190476,3,0.10484761372208595,3.9038262367248535,validation_joint_loss,False,1.367992639541626,30,0.7237040996551514,229.55811292984905,False,1.367992639541626
34,0.00029265847744427303,0.28174603174603174,3,0.08923658697555463,4.499778747558594,validation_joint_loss,False,1.367992639541626,31,0.5829596519470215,225.5514627184187,False,1.367992639541626
35,0.0002920395194242658,0.32341269841269843,3,0.10282733291387558,4.4145894050598145,validation_joint_loss,False,1.367992639541626,32,0.5013163089752197,221.2491525941425,False,1.367992639541626
36,0.00029139622366382674,0.32341269841269843,3,0.08988075548162063,4.211431503295898,validation_joint_loss,False,1.367992639541626,33,0.5375571250915527,217.3607003108875,False,1.367992639541626
37,0.0002907287003883726,0.32341269841269843,3,0.06920725790162881,4.274233818054199,validation_joint_loss,False,1.367992639541626,34,0.8221759796142578,215.23636632216605,False,1.367992639541626
38,0.00029003706397458023,0.25595238095238093,3,0.07542938894281785,3.8009603023529053,validation_joint_loss,False,1.367992639541626,35,0.6056954860687256,212.00750402303845,False,1.367992639541626
