epoch,learning_rate,validation_balanced_accuracy,distinct_classes,train,validation,checkpoint_selection_metric,checkpoint_improved,best_validation_loss_so_far,stale_epochs,epoch_duration_seconds,estimated_stage_remaining_seconds,selected_checkpoint,restored_validation_loss
0,2.9999999999999997e-05,0.29924242424242425,3,1.6074594940458025,1.5564539432525635,validation_joint_loss,True,1.5564539432525635,0,0.3276214599609375,81.63835644721985,False,1.2829053401947021
1,5.9999999999999995e-05,0.4204545454545454,3,1.5275429316929408,1.359744668006897,validation_joint_loss,True,1.359744668006897,0,0.34648966789245605,83.67391872406006,False,1.2829053401947021
2,8.999999999999999e-05,0.34848484848484845,3,1.3220590012414115,1.2829053401947021,validation_joint_loss,True,1.2829053401947021,0,0.3508119583129883,84.4964583714803,True,1.2829053401947021
3,0.00011999999999999999,0.38257575757575757,3,1.2121470315115792,1.294671654701233,validation_joint_loss,False,1.2829053401947021,1,0.778562068939209,111.0251727104187,False,1.2829053401947021
4,0.00015,0.28030303030303033,3,1.111011573246547,1.316540002822876,validation_joint_loss,False,1.2829053401947021,2,0.4409983158111572,110.09144496917725,False,1.2829053401947021
5,0.00017999999999999998,0.28030303030303033,3,1.0602468252182007,1.3977445363998413,validation_joint_loss,False,1.2829053401947021,3,0.34755492210388184,105.52231248219807,False,1.2829053401947021
6,0.00020999999999999998,0.28030303030303033,3,0.9619155526161194,1.4478044509887695,validation_joint_loss,False,1.2829053401947021,4,0.305264949798584,100.69269428934369,False,1.2829053401947021
7,0.00023999999999999998,0.3106060606060606,3,0.9504503778048924,1.4475407600402832,validation_joint_loss,False,1.2829053401947021,5,0.3028755187988281,96.9181222319603,False,1.2829053401947021
8,0.00027,0.28030303030303033,3,0.8611024447849819,1.4132014513015747,validation_joint_loss,False,1.2829053401947021,6,0.3158702850341797,94.26967125468785,False,1.2829053401947021
9,0.0003,0.3106060606060606,3,0.7369505422455924,1.5736820697784424,validation_joint_loss,False,1.2829053401947021,7,0.3393440246582031,92.6473274230957,False,1.2829053401947021
10,0.0003,0.3106060606060606,3,0.718734724181039,1.5719361305236816,validation_joint_loss,False,1.2829053401947021,8,0.49362683296203613,94.60832290215926,False,1.2829053401947021
