epoch,learning_rate,validation_balanced_accuracy,distinct_classes,train,validation,checkpoint_selection_metric,checkpoint_improved,best_validation_loss_so_far,stale_epochs,epoch_duration_seconds,estimated_stage_remaining_seconds,selected_checkpoint,restored_validation_loss
0,2.9999999999999997e-05,0.2756410256410256,3,1.3445818275213242,1.5228642225265503,validation_joint_loss,True,1.5228642225265503,0,0.3278157711029053,81.68745231628418,False,1.505956768989563
1,5.9999999999999995e-05,0.25961538461538464,3,1.2848849594593048,1.505956768989563,validation_joint_loss,True,1.505956768989563,0,0.4333505630493164,94.47346496582031,True,1.505956768989563
2,8.999999999999999e-05,0.3269230769230769,3,1.2321060448884964,1.5177029371261597,validation_joint_loss,False,1.505956768989563,1,0.559856653213501,108.85933232307434,False,1.505956768989563
3,0.00011999999999999999,0.3269230769230769,3,1.1442806646227837,1.5492236614227295,validation_joint_loss,False,1.505956768989563,2,0.32082605361938477,101.07144320011139,False,1.505956768989563
4,0.00015,0.3685897435897436,3,1.1336111202836037,1.5753918886184692,validation_joint_loss,False,1.505956768989563,3,0.445340633392334,102.37222623825073,False,1.505956768989563
5,0.00017999999999999998,0.2916666666666667,3,1.0933240726590157,1.6013438701629639,validation_joint_loss,False,1.505956768989563,4,0.3133842945098877,97.7283166249593,False,1.505956768989563
6,0.00020999999999999998,0.2916666666666667,3,1.0213888064026833,1.6202013492584229,validation_joint_loss,False,1.505956768989563,5,0.298215389251709,93.7912678037371,False,1.505956768989563
7,0.00023999999999999998,0.2916666666666667,3,0.9490800276398659,1.6178532838821411,validation_joint_loss,False,1.505956768989563,6,0.32300496101379395,91.51359486579895,False,1.505956768989563
8,0.00027,0.3333333333333333,3,0.9192551970481873,1.6984367370605469,validation_joint_loss,False,1.505956768989563,7,0.36627793312072754,90.83118518193562,False,1.505956768989563
9,0.0003,0.3173076923076923,3,0.8525247424840927,1.683843970298767,validation_joint_loss,False,1.505956768989563,8,0.36644768714904785,90.21581268310547,False,1.505956768989563
10,0.0003,0.3173076923076923,3,0.8427716121077538,1.6489084959030151,validation_joint_loss,False,1.505956768989563,9,0.942894458770752,102.16997434876183,False,1.505956768989563
11,0.000299987149136101,0.3173076923076923,3,0.6963864266872406,1.7317931652069092,validation_joint_loss,False,1.505956768989563,10,0.571953296661377,104.61678278446198,False,1.505956768989563
12,0.00029994859874633357,0.3173076923076923,3,0.676184494048357,1.7632486820220947,validation_joint_loss,False,1.505956768989563,11,0.4691314697265625,104.72599174426152,False,1.505956768989563
13,0.00029988435543610843,0.3173076923076923,3,0.6169825978577137,1.795386552810669,validation_joint_loss,False,1.505956768989563,12,0.40929079055786133,103.74344764436994,False,1.505956768989563
14,0.000299794430213186,0.3269230769230769,3,0.5881563946604729,1.7361536026000977,validation_joint_loss,False,1.505956768989563,13,0.39672112464904785,102.64066100120544,False,1.505956768989563
15,0.0002996788384857905,0.4006410256410256,3,0.4986513666808605,1.8661681413650513,validation_joint_loss,False,1.505956768989563,14,0.3291895389556885,100.63977921009064,False,1.505956768989563
16,0.00029953760005996916,0.2916666666666667,3,0.5186940245330334,1.902801513671875,validation_joint_loss,False,1.505956768989563,15,0.595271110534668,102.48341141027562,False,1.505956768989563
17,0.0002993707391361992,0.2852564102564103,3,0.4066748768091202,1.861664056777954,validation_joint_loss,False,1.505956768989563,16,0.4693593978881836,102.43554751078288,False,1.505956768989563
18,0.00029917828430524096,0.4166666666666667,3,0.3932650648057461,1.9328720569610596,validation_joint_loss,False,1.505956768989563,17,0.31520986557006836,100.46836002249468,False,1.505956768989563
19,0.00029896026854323894,0.30128205128205127,3,0.32519057020545006,1.9179112911224365,validation_joint_loss,False,1.505956768989563,18,0.3988454341888428,99.62680160999298,False,1.505956768989563
20,0.00029871672920607153,0.5,3,0.304291320964694,1.9286686182022095,validation_joint_loss,False,1.505956768989563,19,0.48773837089538574,99.79716953777131,False,1.505956768989563
21,0.0002984477080229505,0.375,3,0.2170844580978155,2.116614818572998,validation_joint_loss,False,1.505956768989563,20,0.48430871963500977,99.87159711664374,False,1.505956768989563
22,0.00029815325108927063,0.5,3,0.23209062218666077,2.227207899093628,validation_joint_loss,False,1.505956768989563,21,0.3988075256347656,99.05495219645293,False,1.505956768989563
23,0.00029783340885871165,0.4583333333333333,3,0.1859492938965559,2.297886848449707,validation_joint_loss,False,1.505956768989563,22,0.46642279624938965,98.91083192825317,False,1.505956768989563
24,0.00029748823613459316,0.4423076923076923,3,0.17881116084754467,2.315721273422241,validation_joint_loss,False,1.505956768989563,23,0.8020751476287842,101.75818419456482,False,1.505956768989563
25,0.00029711779206048454,0.4583333333333333,3,0.13338309153914452,2.521454334259033,validation_joint_loss,False,1.505956768989563,24,0.6451215744018555,102.97196549635666,False,1.505956768989563
26,0.0002967221401100708,0.5352564102564102,3,0.12942008953541517,2.588331937789917,validation_joint_loss,False,1.505956768989563,25,0.430330753326416,102.27366418308681,False,1.505956768989563
27,0.00029630134807627685,0.483974358974359,3,0.13925892394036055,2.511993646621704,validation_joint_loss,False,1.505956768989563,26,0.4533510208129883,101.77666231564113,False,1.505956768989563
28,0.0002958554880596515,0.4519230769230769,3,0.13205057755112648,2.569253921508789,validation_joint_loss,False,1.505956768989563,27,0.47333574295043945,101.43545239547203,False,1.505956768989563
29,0.00029538463645601315,0.4519230769230769,3,0.10214420314878225,2.657479763031006,validation_joint_loss,False,1.505956768989563,28,0.5650613307952881,101.75846926371257,False,1.505956768989563
30,0.0002948888739433602,0.42628205128205127,3,0.11640505399554968,2.502998113632202,validation_joint_loss,False,1.505956768989563,29,0.8468396663665771,104.01410856554585,False,1.505956768989563
31,0.000294368285468047,0.483974358974359,3,0.08982807490974665,2.773923397064209,validation_joint_loss,False,1.505956768989563,30,0.5117731094360352,103.86738719046116,False,1.505956768989563
32,0.00029382296023022894,0.5096153846153846,3,0.07307366374880075,2.8496484756469727,validation_joint_loss,False,1.505956768989563,31,0.35991406440734863,102.62816748474583,False,1.505956768989563
33,0.00029325299166857796,0.483974358974359,3,0.07013614801689982,2.9584944248199463,validation_joint_loss,False,1.505956768989563,32,0.322904109954834,101.20637024150174,False,1.505956768989563
34,0.00029265847744427303,0.42628205128205127,3,0.06799595011398196,3.0557544231414795,validation_joint_loss,False,1.505956768989563,33,0.3024406433105469,99.72022230284556,False,1.505956768989563
35,0.0002920395194242658,0.42628205128205127,3,0.0773789044469595,3.0493366718292236,validation_joint_loss,False,1.505956768989563,34,0.3209505081176758,98.40987567106883,False,1.505956768989563
36,0.00029139622366382674,0.42628205128205127,3,0.08370768651366234,3.0881600379943848,validation_joint_loss,False,1.505956768989563,35,0.3148212432861328,97.11769227079444,False,1.505956768989563
