loss,epoch,train_loss,validation_pr_auc
weighted_bce,1,0.8597330405161931,0.7055167059287446
weighted_bce,2,0.4332641145357719,0.7185056911357568
weighted_bce,3,0.31930462614848065,0.7088908825867448
weighted_bce,4,0.25378706955756897,0.7319219454253375
weighted_bce,5,0.2323450669646263,0.733965060017058
weighted_bce,6,0.20872555959683198,0.7523974573143617
weighted_bce,7,0.17705827282789427,0.7314819180629096
weighted_bce,8,0.1815285426683915,0.7281146850742035
weighted_bce,9,0.15662885657869852,0.722038960289695
weighted_bce,10,0.16717080217905533,0.7294915787179003
focal,1,0.006052224104328511,0.6619565926517748
focal,2,0.0007707990000012498,0.7375577376558125
focal,3,0.0005878595540520903,0.7464674188345095
focal,4,0.000492452257253134,0.7723675657221893
focal,5,0.0004191598618023981,0.7733486185711972
focal,6,0.0003964123105292973,0.7788999744380014
focal,7,0.0003794945197370954,0.7750171973497638
focal,8,0.0003352041249178374,0.7943876319533884
focal,9,0.0003168352934433362,0.8010497327960754
focal,10,0.00031345630925035296,0.7936501627287461
focal,11,0.00029285829320239526,0.7916866863016168
focal,12,0.00028383408864148153,0.8005794696537546
focal,13,0.00026921324322943407,0.7964883192453913
