policy,transactions,alerts,alert_rate,true_fraud_alerts,false_positive_alerts,precision,fraud_count_recall,fraud_amount_capture,estimated_prevented_fraud_count,gross_prevented_loss,review_cost_total,friction_cost_total,approve_all_cost,realized_cost,net_savings,savings_per_1000_transactions,savings_per_alert,review_roi,mean_alert_probability
f1_threshold,28374,30,0.0010573059843518714,30,0,1.0,0.7317073170731707,0.9414007445391183,24.0,3876.064,120.0,0.0,5283.66,1527.5959999999998,3756.0640000000003,132.37696482695426,125.20213333333335,31.300533333333338,0.8045660250043871
fixed_0.5,28374,31,0.0010925495171636005,30,1,0.967741935483871,0.7317073170731707,0.9414007445391183,24.0,3876.064,124.0,8.0,5283.66,1539.5959999999998,3744.0640000000003,131.95404243321352,120.77625806451614,28.364121212121216,0.7964717057920168
avoidable_value_capacity,28374,56,0.001973637837456827,30,26,0.5357142857142857,0.7317073170731707,0.9920576782203032,24.0,4065.264,224.0,208.0,5283.66,1650.3959999999997,3633.264,128.04905899767394,64.87971428571429,8.410333333333334,0.47152783669723836
probability_capacity,28374,105,0.00370057094523155,35,70,0.3333333333333333,0.8536585365853658,0.9947865126181816,28.0,4135.456000000001,420.0,560.0,5283.66,2128.2039999999997,3155.456,111.2094170719673,30.051961904761907,3.21985306122449,0.2855374317869137
expected_loss_capacity,28374,105,0.00370057094523155,28,77,0.26666666666666666,0.6829268292682927,0.9918948906110104,22.400000000000002,4040.6559999999995,420.0,616.0,5283.66,2279.004,3004.656,105.89469232395855,28.615771428571428,2.900247104247104,0.24288425275517106
approve_all,28374,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5283.66,5283.66,0.0,0.0,0.0,0.0,0.0
