capture_rate,friction_cost,transactions,alerts,alert_rate,true_fraud_alerts,false_positive_alerts,precision,fraud_count_recall,fraud_amount_capture,estimated_prevented_fraud_count,gross_prevented_loss,review_cost_total,friction_cost_total,approve_all_cost,realized_cost,net_savings,savings_per_1000_transactions,savings_per_alert,review_roi,mean_alert_probability
0.5,2.0,28374,63,0.00222034256713893,30,33,0.47619047619047616,0.7317073170731707,0.9920576782203032,15.0,2540.7900000000004,252.0,66.0,5283.66,3060.87,2222.79,78.33897229858322,35.282380952380954,6.989905660377358,0.42080308301853997
0.5,5.0,28374,52,0.0018326637062099104,28,24,0.5384615384615384,0.6829268292682927,0.9916292897747963,14.0,2524.79,208.0,120.0,5283.66,3086.87,2196.79,77.42264044547825,42.245961538461536,6.697530487804878,0.4798912070569096
0.5,8.0,28374,42,0.00148022837809262,26,16,0.6190476190476191,0.6341463414634146,0.9895601735829982,13.0,2504.96,168.0,128.0,5283.66,3074.7,2208.96,77.851554239797,52.59428571428572,7.462702702702702,0.5531442388859703
0.5,15.0,28374,35,0.0012335236484105167,26,9,0.7428571428571429,0.6341463414634146,0.9895601735829982,13.0,2504.96,140.0,135.0,5283.66,3053.7,2229.96,78.5916684288433,63.713142857142856,8.108945454545454,0.6558512738662532
0.5,25.0,28374,30,0.0010573059843518714,24,6,0.8,0.5853658536585366,0.9871419208081118,12.0,2484.3149999999996,120.0,150.0,5283.66,3069.345,2214.315,78.0402833580038,73.8105,8.201166666666667,0.70486791247389
0.7,2.0,28374,69,0.0024318037640093043,30,39,0.43478260869565216,0.7317073170731707,0.9920576782203032,21.0,3557.1059999999998,276.0,78.0,5283.66,2080.554,3203.1059999999998,112.88877141044618,46.42182608695652,9.048322033898305,0.3859898572124978
0.7,5.0,28374,57,0.0020088813702685555,30,27,0.5263157894736842,0.7317073170731707,0.9920576782203032,21.0,3557.1059999999998,228.0,135.0,5283.66,2089.554,3194.1059999999998,112.57157961514062,56.036947368421046,8.799190082644628,0.463489059069487
0.7,8.0,28374,55,0.0019383943046450975,30,25,0.5454545454545454,0.7317073170731707,0.9920576782203032,21.0,3557.1059999999998,220.0,200.0,5283.66,2146.554,3137.1059999999998,110.56269824487207,57.038290909090904,7.4693,0.47969985204825394
0.7,15.0,28374,40,0.0014097413124691618,27,13,0.675,0.6585365853658537,0.9897229611922906,18.9,3517.9759999999997,160.0,195.0,5283.66,2120.684,3162.9759999999997,111.47444843871148,79.0744,8.909791549295774,0.594943531457357
0.7,25.0,28374,35,0.0012335236484105167,26,9,0.7428571428571429,0.6341463414634146,0.9895601735829982,18.2,3506.9439999999995,140.0,225.0,5283.66,2141.7160000000003,3141.9439999999995,110.73320645661519,89.76982857142856,8.608065753424656,0.6558512738662532
0.8,2.0,28374,71,0.0025022908296327626,30,41,0.4225352112676056,0.7317073170731707,0.9920576782203032,24.0,4065.264,284.0,82.0,5283.66,1584.3959999999997,3699.264,130.37513216324805,52.10230985915493,10.107278688524591,0.3753179646110872
0.8,5.0,28374,64,0.0022555860999506593,30,34,0.46875,0.7317073170731707,0.9920576782203032,24.0,4065.264,256.0,170.0,5283.66,1644.3959999999997,3639.264,128.2605201945443,56.8635,8.54287323943662,0.41514176072068776
0.8,8.0,28374,56,0.001973637837456827,30,26,0.5357142857142857,0.7317073170731707,0.9920576782203032,24.0,4065.264,224.0,208.0,5283.66,1650.3959999999997,3633.264,128.04905899767394,64.87971428571429,8.410333333333334,0.47152783669723836
0.8,15.0,28374,44,0.001550715443716078,28,16,0.6363636363636364,0.6829268292682927,0.9916292897747963,22.400000000000002,4039.664,176.0,240.0,5283.66,1659.9959999999996,3623.664,127.71072108268133,82.35600000000001,8.71073076923077,0.5579380544506264
0.8,25.0,28374,35,0.0012335236484105167,26,9,0.7428571428571429,0.6341463414634146,0.9895601735829982,20.8,4007.9359999999997,140.0,225.0,5283.66,1640.7239999999997,3642.936,128.38993444702896,104.08388571428571,9.980646575342465,0.6558512738662532
0.9,2.0,28374,72,0.0025375343624444912,30,42,0.4166666666666667,0.7317073170731707,0.9920576782203032,27.0,4573.422,288.0,84.0,5283.66,1082.238,4201.422,148.07295411292029,58.35308333333333,11.294145161290322,0.3701960082349441
