version,roc_auc,pr_auc,pr_auc_lift,brier,brier_skill,log_loss,precision,recall,f1,balanced_accuracy,mcc,threshold,alerts,prevalence
raw,0.9516617273497037,0.7430759747755468,702.8012569427121,0.00434254633835216,-3.111527469411709,0.04658967025039372,0.55,0.7333333333333333,0.6285714285714286,0.866349139147615,0.6346472866215878,0.5,40,0.0010573059843518714
platt,0.9516617273497037,0.7430759747755468,702.8012569427121,0.00037022514539247775,0.649470440486829,0.002723823669614491,0.9545454545454546,0.7,0.8076923076923077,0.8499823595822749,0.8172673648653215,0.5,22,0.0010573059843518714
