meeting_date,event_token,price_date,business_day_offset,attention
2002-03-19,rate_decision,2002-01-31,-31,0.02668093517422676
2002-03-19,rate_decision,2002-02-01,-30,0.02592300996184349
2002-03-19,rate_decision,2002-02-04,-29,0.02464134246110916
2002-03-19,rate_decision,2002-02-05,-28,0.025966806337237358
2002-03-19,rate_decision,2002-02-06,-27,0.026466967537999153
2002-03-19,rate_decision,2002-02-07,-26,0.027350639924407005
2002-03-19,rate_decision,2002-02-08,-25,0.028200551867485046
2002-03-19,rate_decision,2002-02-11,-24,0.028590045869350433
2002-03-19,rate_decision,2002-02-12,-23,0.0279323048889637
2002-03-19,rate_decision,2002-02-13,-22,0.029930479824543
2002-03-19,rate_decision,2002-02-14,-21,0.0322704091668129
2002-03-19,rate_decision,2002-02-15,-20,0.030317340046167374
2002-03-19,rate_decision,2002-02-19,-19,0.029348913580179214
2002-03-19,rate_decision,2002-02-20,-18,0.031167596578598022
2002-03-19,rate_decision,2002-02-21,-17,0.03142897039651871
2002-03-19,rate_decision,2002-02-22,-16,0.030183665454387665
2002-03-19,rate_decision,2002-02-25,-15,0.03193899616599083
2002-03-19,rate_decision,2002-02-26,-14,0.03305637091398239
2002-03-19,rate_decision,2002-02-27,-13,0.03698550537228584
2002-03-19,rate_decision,2002-02-28,-12,0.03709029033780098
2002-03-19,rate_decision,2002-03-01,-11,0.03570505976676941
2002-03-19,rate_decision,2002-03-04,-10,0.039171252399683
2002-03-19,rate_decision,2002-03-05,-9,0.03968258202075958
2002-03-19,rate_decision,2002-03-06,-8,0.037776101380586624
2002-03-19,rate_decision,2002-03-07,-7,0.03509477525949478
2002-03-19,rate_decision,2002-03-08,-6,0.03366867080330849
2002-03-19,rate_decision,2002-03-11,-5,0.034573994576931
2002-03-19,rate_decision,2002-03-12,-4,0.03246081620454788
2002-03-19,rate_decision,2002-03-13,-3,0.030291106551885605
2002-03-19,rate_decision,2002-03-14,-2,0.030312007293105125
2002-03-19,rate_decision,2002-03-15,-1,0.028455784544348717
2002-03-19,rate_decision,2002-03-18,0,0.02733670361340046
2002-03-19,current_policy_stance,2002-01-31,-31,0.022040870040655136
2002-03-19,current_policy_stance,2002-02-01,-30,0.023377511650323868
