meeting_date,event_token,price_date,business_day_offset,attention
2011-03-15,rate_decision,2011-01-27,-31,0.032364971935749054
2011-03-15,rate_decision,2011-01-28,-30,0.03566388785839081
2011-03-15,rate_decision,2011-01-31,-29,0.030346810817718506
2011-03-15,rate_decision,2011-02-01,-28,0.0277409590780735
2011-03-15,rate_decision,2011-02-02,-27,0.026557138189673424
2011-03-15,rate_decision,2011-02-03,-26,0.026063164696097374
2011-03-15,rate_decision,2011-02-04,-25,0.02496781386435032
2011-03-15,rate_decision,2011-02-07,-24,0.027667135000228882
2011-03-15,rate_decision,2011-02-08,-23,0.02822934277355671
2011-03-15,rate_decision,2011-02-09,-22,0.028813421726226807
2011-03-15,rate_decision,2011-02-10,-21,0.028230685740709305
2011-03-15,rate_decision,2011-02-11,-20,0.02731897681951523
2011-03-15,rate_decision,2011-02-14,-19,0.030499272048473358
2011-03-15,rate_decision,2011-02-15,-18,0.027894165366888046
2011-03-15,rate_decision,2011-02-16,-17,0.03349611535668373
2011-03-15,rate_decision,2011-02-17,-16,0.027819162234663963
2011-03-15,rate_decision,2011-02-18,-15,0.033609434962272644
2011-03-15,rate_decision,2011-02-22,-14,0.031998392194509506
2011-03-15,rate_decision,2011-02-23,-13,0.036292947828769684
2011-03-15,rate_decision,2011-02-24,-12,0.03190094232559204
2011-03-15,rate_decision,2011-02-25,-11,0.03331516683101654
2011-03-15,rate_decision,2011-02-28,-10,0.033957839012145996
2011-03-15,rate_decision,2011-03-01,-9,0.03563608229160309
2011-03-15,rate_decision,2011-03-02,-8,0.03003288432955742
2011-03-15,rate_decision,2011-03-03,-7,0.03581460937857628
2011-03-15,rate_decision,2011-03-04,-6,0.029952717944979668
2011-03-15,rate_decision,2011-03-07,-5,0.03460012376308441
2011-03-15,rate_decision,2011-03-08,-4,0.027064410969614983
2011-03-15,rate_decision,2011-03-09,-3,0.028524601832032204
2011-03-15,rate_decision,2011-03-10,-2,0.034628335386514664
2011-03-15,rate_decision,2011-03-11,-1,0.03877347707748413
2011-03-15,rate_decision,2011-03-14,0,0.04022502899169922
