meeting_date,event_token,attention
2017-03-15,rate_decision,0.07668276131153107
2017-03-15,current_policy_stance,0.06652344763278961
2017-03-15,policy_stance_shift,0.07381584495306015
2017-03-15,expected_rate_path_shift,0.06298471987247467
2017-03-15,inflation_assessment_shift,0.06814373284578323
2017-03-15,inflation_risk_shift,0.06405025720596313
2017-03-15,unemployment_assessment_shift,0.06364145874977112
2017-03-15,labor_market_risk_shift,0.0639956146478653
2017-03-15,growth_activity_shift,0.06905800849199295
2017-03-15,financial_conditions_shift,0.06357553601264954
2017-03-15,balance_sheet_policy_shift,0.0732165202498436
2017-03-15,risk_balance_shift,0.06463512033224106
2017-03-15,committee_dispersion,0.06572536379098892
2017-03-15,policy_uncertainty,0.06156375631690025
2017-03-15,forward_guidance_strength,0.06238788366317749
2017-05-03,rate_decision,0.10021236538887024
2017-05-03,current_policy_stance,0.0566578283905983
2017-05-03,policy_stance_shift,0.06122363358736038
2017-05-03,expected_rate_path_shift,0.056029707193374634
2017-05-03,inflation_assessment_shift,0.04960750415921211
2017-05-03,inflation_risk_shift,0.051868923008441925
2017-05-03,unemployment_assessment_shift,0.08554214239120483
2017-05-03,labor_market_risk_shift,0.05908716097474098
2017-05-03,growth_activity_shift,0.06641146540641785
2017-05-03,financial_conditions_shift,0.05766332522034645
2017-05-03,balance_sheet_policy_shift,0.09568005800247192
2017-05-03,risk_balance_shift,0.059093546122312546
2017-05-03,committee_dispersion,0.09069987386465073
2017-05-03,policy_uncertainty,0.05418410897254944
2017-05-03,forward_guidance_strength,0.05603843182325363
2017-06-14,rate_decision,0.07929423451423645
2017-06-14,current_policy_stance,0.06561654061079025
2017-06-14,policy_stance_shift,0.07772808521986008
2017-06-14,expected_rate_path_shift,0.05819813162088394
2017-06-14,inflation_assessment_shift,0.05039133131504059
2017-06-14,inflation_risk_shift,0.05280928313732147
2017-06-14,unemployment_assessment_shift,0.0763164684176445
2017-06-14,labor_market_risk_shift,0.0774298757314682
2017-06-14,growth_activity_shift,0.07707668840885162
2017-06-14,financial_conditions_shift,0.05274362489581108
2017-06-14,balance_sheet_policy_shift,0.08341459929943085
2017-06-14,risk_balance_shift,0.06480559706687927
2017-06-14,committee_dispersion,0.06762565672397614
2017-06-14,policy_uncertainty,0.053766585886478424
2017-06-14,forward_guidance_strength,0.06278330087661743
2017-07-26,rate_decision,0.0994907096028328
2017-07-26,current_policy_stance,0.07259777188301086
2017-07-26,policy_stance_shift,0.059830475598573685
2017-07-26,expected_rate_path_shift,0.05578072369098663
2017-07-26,inflation_assessment_shift,0.052963629364967346
2017-07-26,inflation_risk_shift,0.05464506894350052
2017-07-26,unemployment_assessment_shift,0.05863247811794281
2017-07-26,labor_market_risk_shift,0.071612149477005
2017-07-26,growth_activity_shift,0.07158748060464859
2017-07-26,financial_conditions_shift,0.05876957252621651
2017-07-26,balance_sheet_policy_shift,0.08346209675073624
2017-07-26,risk_balance_shift,0.05922997370362282
2017-07-26,committee_dispersion,0.08145314455032349
2017-07-26,policy_uncertainty,0.05542778596282005
2017-07-26,forward_guidance_strength,0.06451690196990967
2017-09-20,rate_decision,0.09399490058422089
2017-09-20,current_policy_stance,0.057543933391571045
2017-09-20,policy_stance_shift,0.06566694378852844
2017-09-20,expected_rate_path_shift,0.062194451689720154
2017-09-20,inflation_assessment_shift,0.0526542067527771
2017-09-20,inflation_risk_shift,0.05917327105998993
2017-09-20,unemployment_assessment_shift,0.06592705100774765
2017-09-20,labor_market_risk_shift,0.06921616196632385
2017-09-20,growth_activity_shift,0.06860482692718506
2017-09-20,financial_conditions_shift,0.05917707085609436
2017-09-20,balance_sheet_policy_shift,0.08516431599855423
2017-09-20,risk_balance_shift,0.061077218502759933
2017-09-20,committee_dispersion,0.07134975492954254
2017-09-20,policy_uncertainty,0.05400194972753525
2017-09-20,forward_guidance_strength,0.07425399124622345
2017-11-01,rate_decision,0.09936445206403732
2017-11-01,current_policy_stance,0.05183935537934303
2017-11-01,policy_stance_shift,0.06691797822713852
2017-11-01,expected_rate_path_shift,0.06830047816038132
2017-11-01,inflation_assessment_shift,0.047145601361989975
2017-11-01,inflation_risk_shift,0.05027027800679207
2017-11-01,unemployment_assessment_shift,0.07325847446918488
2017-11-01,labor_market_risk_shift,0.07349304854869843
2017-11-01,growth_activity_shift,0.07515878230333328
2017-11-01,financial_conditions_shift,0.06119587644934654
2017-11-01,balance_sheet_policy_shift,0.06898891180753708
2017-11-01,risk_balance_shift,0.056535035371780396
2017-11-01,committee_dispersion,0.08535242080688477
2017-11-01,policy_uncertainty,0.0516953319311142
2017-11-01,forward_guidance_strength,0.07048393785953522
2017-12-13,rate_decision,0.09210919588804245
2017-12-13,current_policy_stance,0.072123683989048
2017-12-13,policy_stance_shift,0.07828345149755478
2017-12-13,expected_rate_path_shift,0.06368311494588852
2017-12-13,inflation_assessment_shift,0.05518743023276329
2017-12-13,inflation_risk_shift,0.051278308033943176
2017-12-13,unemployment_assessment_shift,0.06565850973129272
2017-12-13,labor_market_risk_shift,0.06180986762046814
2017-12-13,growth_activity_shift,0.07345446944236755
2017-12-13,financial_conditions_shift,0.05073858052492142
2017-12-13,balance_sheet_policy_shift,0.0791708305478096
2017-12-13,risk_balance_shift,0.05712904408574104
2017-12-13,committee_dispersion,0.08605162054300308
2017-12-13,policy_uncertainty,0.04587963968515396
2017-12-13,forward_guidance_strength,0.06744223833084106
2018-01-31,rate_decision,0.09580276161432266
2018-01-31,current_policy_stance,0.05294671654701233
2018-01-31,policy_stance_shift,0.07655841112136841
2018-01-31,expected_rate_path_shift,0.07544044405221939
2018-01-31,inflation_assessment_shift,0.08021803945302963
2018-01-31,inflation_risk_shift,0.06299679726362228
2018-01-31,unemployment_assessment_shift,0.07053886353969574
2018-01-31,labor_market_risk_shift,0.07455524057149887
2018-01-31,growth_activity_shift,0.08111139386892319
2018-01-31,financial_conditions_shift,0.048518192023038864
2018-01-31,balance_sheet_policy_shift,0.06103290617465973
2018-01-31,risk_balance_shift,0.054801035672426224
2018-01-31,committee_dispersion,0.04771742969751358
2018-01-31,policy_uncertainty,0.04742802307009697
2018-01-31,forward_guidance_strength,0.07033377885818481
2018-03-21,rate_decision,0.07894203066825867
2018-03-21,current_policy_stance,0.06422949582338333
2018-03-21,policy_stance_shift,0.07310844957828522
2018-03-21,expected_rate_path_shift,0.07141480594873428
2018-03-21,inflation_assessment_shift,0.06156247481703758
2018-03-21,inflation_risk_shift,0.05980604141950607
