meeting_date,event_token,price_date,business_day_offset,attention
2017-03-15,rate_decision,2017-02-02,-27,0.036404989659786224
2017-03-15,rate_decision,2017-02-03,-26,0.033745139837265015
2017-03-15,rate_decision,2017-02-06,-25,0.03578634560108185
2017-03-15,rate_decision,2017-02-07,-24,0.030613858252763748
2017-03-15,rate_decision,2017-02-08,-23,0.03255753964185715
2017-03-15,rate_decision,2017-02-09,-22,0.029983315616846085
2017-03-15,rate_decision,2017-02-10,-21,0.03376312926411629
2017-03-15,rate_decision,2017-02-13,-20,0.034265659749507904
2017-03-15,rate_decision,2017-02-14,-19,0.040094874799251556
2017-03-15,rate_decision,2017-02-15,-18,0.03562277555465698
2017-03-15,rate_decision,2017-02-16,-17,0.03741409257054329
2017-03-15,rate_decision,2017-02-17,-16,0.03566371649503708
2017-03-15,rate_decision,2017-02-21,-15,0.03265806660056114
2017-03-15,rate_decision,2017-02-22,-14,0.030904550105333328
2017-03-15,rate_decision,2017-02-23,-13,0.03130128234624863
2017-03-15,rate_decision,2017-02-24,-12,0.03462588042020798
2017-03-15,rate_decision,2017-02-27,-11,0.03426949679851532
2017-03-15,rate_decision,2017-02-28,-10,0.03779492899775505
2017-03-15,rate_decision,2017-03-01,-9,0.04130616784095764
2017-03-15,rate_decision,2017-03-02,-8,0.04130348563194275
2017-03-15,rate_decision,2017-03-03,-7,0.03768511116504669
2017-03-15,rate_decision,2017-03-06,-6,0.03722679615020752
2017-03-15,rate_decision,2017-03-07,-5,0.0379880890250206
2017-03-15,rate_decision,2017-03-08,-4,0.03822566568851471
2017-03-15,rate_decision,2017-03-09,-3,0.0405416414141655
2017-03-15,rate_decision,2017-03-10,-2,0.040318623185157776
2017-03-15,rate_decision,2017-03-13,-1,0.033384643495082855
2017-03-15,rate_decision,2017-03-14,0,0.034550148993730545
2017-03-15,current_policy_stance,2017-02-02,-27,0.03430074080824852
2017-03-15,current_policy_stance,2017-02-03,-26,0.03297363966703415
2017-03-15,current_policy_stance,2017-02-06,-25,0.03818909451365471
2017-03-15,current_policy_stance,2017-02-07,-24,0.034970615059137344
2017-03-15,current_policy_stance,2017-02-08,-23,0.04127003252506256
2017-03-15,current_policy_stance,2017-02-09,-22,0.035501785576343536
2017-03-15,current_policy_stance,2017-02-10,-21,0.03845671936869621
2017-03-15,current_policy_stance,2017-02-13,-20,0.03490401804447174
2017-03-15,current_policy_stance,2017-02-14,-19,0.03528498113155365
2017-03-15,current_policy_stance,2017-02-15,-18,0.03283890336751938
2017-03-15,current_policy_stance,2017-02-16,-17,0.03765108808875084
2017-03-15,current_policy_stance,2017-02-17,-16,0.03420659527182579
2017-03-15,current_policy_stance,2017-02-21,-15,0.033294644206762314
2017-03-15,current_policy_stance,2017-02-22,-14,0.03580271452665329
2017-03-15,current_policy_stance,2017-02-23,-13,0.035207752138376236
2017-03-15,current_policy_stance,2017-02-24,-12,0.04142336547374725
2017-03-15,current_policy_stance,2017-02-27,-11,0.034276146441698074
2017-03-15,current_policy_stance,2017-02-28,-10,0.038685351610183716
2017-03-15,current_policy_stance,2017-03-01,-9,0.035571977496147156
