meeting_date,event_token,price_date,business_day_offset,attention
2023-03-22,rate_decision,2023-02-02,-32,0.03503934666514397
2023-03-22,rate_decision,2023-02-03,-31,0.028334587812423706
2023-03-22,rate_decision,2023-02-06,-30,0.02654499188065529
2023-03-22,rate_decision,2023-02-07,-29,0.026482142508029938
2023-03-22,rate_decision,2023-02-08,-28,0.02801029570400715
2023-03-22,rate_decision,2023-02-09,-27,0.029289083555340767
2023-03-22,rate_decision,2023-02-10,-26,0.02863747626543045
2023-03-22,rate_decision,2023-02-13,-25,0.02677205018699169
2023-03-22,rate_decision,2023-02-14,-24,0.025741729885339737
2023-03-22,rate_decision,2023-02-15,-23,0.02787010744214058
2023-03-22,rate_decision,2023-02-16,-22,0.027886230498552322
2023-03-22,rate_decision,2023-02-17,-21,0.027097156271338463
2023-03-22,rate_decision,2023-02-21,-20,0.028282539919018745
2023-03-22,rate_decision,2023-02-22,-19,0.02707733027637005
2023-03-22,rate_decision,2023-02-23,-18,0.026197299361228943
2023-03-22,rate_decision,2023-02-24,-17,0.026096392422914505
2023-03-22,rate_decision,2023-02-27,-16,0.02546512521803379
2023-03-22,rate_decision,2023-02-28,-15,0.0247269868850708
2023-03-22,rate_decision,2023-03-01,-14,0.024190586060285568
2023-03-22,rate_decision,2023-03-02,-13,0.027316799387335777
2023-03-22,rate_decision,2023-03-03,-12,0.025633376091718674
2023-03-22,rate_decision,2023-03-06,-11,0.025958623737096786
2023-03-22,rate_decision,2023-03-07,-10,0.026350583881139755
2023-03-22,rate_decision,2023-03-08,-9,0.029465172439813614
2023-03-22,rate_decision,2023-03-09,-8,0.032970793545246124
2023-03-22,rate_decision,2023-03-10,-7,0.03600897639989853
2023-03-22,rate_decision,2023-03-13,-6,0.037868350744247437
2023-03-22,rate_decision,2023-03-14,-5,0.03983958065509796
2023-03-22,rate_decision,2023-03-15,-4,0.041660379618406296
2023-03-22,rate_decision,2023-03-16,-3,0.03688422217965126
2023-03-22,rate_decision,2023-03-17,-2,0.04309727996587753
2023-03-22,rate_decision,2023-03-20,-1,0.04335874691605568
2023-03-22,rate_decision,2023-03-21,0,0.0338456891477108
2023-03-22,current_policy_stance,2023-02-02,-32,0.03323487937450409
2023-03-22,current_policy_stance,2023-02-03,-31,0.028766538947820663
2023-03-22,current_policy_stance,2023-02-06,-30,0.028271950781345367
2023-03-22,current_policy_stance,2023-02-07,-29,0.02851930819451809
2023-03-22,current_policy_stance,2023-02-08,-28,0.030438825488090515
2023-03-22,current_policy_stance,2023-02-09,-27,0.03231961280107498
2023-03-22,current_policy_stance,2023-02-10,-26,0.029705915600061417
2023-03-22,current_policy_stance,2023-02-13,-25,0.03321864455938339
2023-03-22,current_policy_stance,2023-02-14,-24,0.031157176941633224
2023-03-22,current_policy_stance,2023-02-15,-23,0.030682845041155815
2023-03-22,current_policy_stance,2023-02-16,-22,0.03100811317563057
2023-03-22,current_policy_stance,2023-02-17,-21,0.033702071756124496
2023-03-22,current_policy_stance,2023-02-21,-20,0.03132646530866623
2023-03-22,current_policy_stance,2023-02-22,-19,0.029150037094950676
2023-03-22,current_policy_stance,2023-02-23,-18,0.03974636271595955
2023-03-22,current_policy_stance,2023-02-24,-17,0.034525275230407715
2023-03-22,current_policy_stance,2023-02-27,-16,0.03135349601507187
2023-03-22,current_policy_stance,2023-02-28,-15,0.03868788480758667
2023-03-22,current_policy_stance,2023-03-01,-14,0.029386010020971298
2023-03-22,current_policy_stance,2023-03-02,-13,0.02895958349108696
2023-03-22,current_policy_stance,2023-03-03,-12,0.03122580796480179
2023-03-22,current_policy_stance,2023-03-06,-11,0.02755620889365673
2023-03-22,current_policy_stance,2023-03-07,-10,0.025503799319267273
2023-03-22,current_policy_stance,2023-03-08,-9,0.02584741823375225
2023-03-22,current_policy_stance,2023-03-09,-8,0.02519376389682293
2023-03-22,current_policy_stance,2023-03-10,-7,0.026738468557596207
2023-03-22,current_policy_stance,2023-03-13,-6,0.026061445474624634
2023-03-22,current_policy_stance,2023-03-14,-5,0.029030004516243935
2023-03-22,current_policy_stance,2023-03-15,-4,0.02860761433839798
2023-03-22,current_policy_stance,2023-03-16,-3,0.030640501528978348
2023-03-22,current_policy_stance,2023-03-17,-2,0.02989101968705654
2023-03-22,current_policy_stance,2023-03-20,-1,0.032500945031642914
2023-03-22,current_policy_stance,2023-03-21,0,0.027042008936405182
2023-03-22,policy_stance_shift,2023-02-02,-32,0.031407520174980164
2023-03-22,policy_stance_shift,2023-02-03,-31,0.032845016568899155
2023-03-22,policy_stance_shift,2023-02-06,-30,0.03331371396780014
2023-03-22,policy_stance_shift,2023-02-07,-29,0.028967712074518204
2023-03-22,policy_stance_shift,2023-02-08,-28,0.030448727309703827
2023-03-22,policy_stance_shift,2023-02-09,-27,0.029398266226053238
2023-03-22,policy_stance_shift,2023-02-10,-26,0.030435368418693542
2023-03-22,policy_stance_shift,2023-02-13,-25,0.0314660407602787
2023-03-22,policy_stance_shift,2023-02-14,-24,0.028527429327368736
2023-03-22,policy_stance_shift,2023-02-15,-23,0.027680687606334686
2023-03-22,policy_stance_shift,2023-02-16,-22,0.026345888152718544
2023-03-22,policy_stance_shift,2023-02-17,-21,0.027926526963710785
2023-03-22,policy_stance_shift,2023-02-21,-20,0.027895808219909668
2023-03-22,policy_stance_shift,2023-02-22,-19,0.027268238365650177
2023-03-22,policy_stance_shift,2023-02-23,-18,0.02929597906768322
2023-03-22,policy_stance_shift,2023-02-24,-17,0.02933564782142639
