meeting_date,event_token,price_date,business_day_offset,attention
2014-03-19,rate_decision,2014-01-30,-32,0.032827626913785934
2014-03-19,rate_decision,2014-01-31,-31,0.03292394429445267
2014-03-19,rate_decision,2014-02-03,-30,0.03164319694042206
2014-03-19,rate_decision,2014-02-04,-29,0.03212780877947807
2014-03-19,rate_decision,2014-02-05,-28,0.03551376610994339
2014-03-19,rate_decision,2014-02-06,-27,0.027491765096783638
2014-03-19,rate_decision,2014-02-07,-26,0.029173944145441055
2014-03-19,rate_decision,2014-02-10,-25,0.025698944926261902
2014-03-19,rate_decision,2014-02-11,-24,0.03269566223025322
2014-03-19,rate_decision,2014-02-12,-23,0.028982190415263176
2014-03-19,rate_decision,2014-02-13,-22,0.029692308977246284
2014-03-19,rate_decision,2014-02-14,-21,0.02877792902290821
2014-03-19,rate_decision,2014-02-18,-20,0.027059581130743027
2014-03-19,rate_decision,2014-02-19,-19,0.025275051593780518
2014-03-19,rate_decision,2014-02-20,-18,0.029858477413654327
2014-03-19,rate_decision,2014-02-21,-17,0.02978999726474285
2014-03-19,rate_decision,2014-02-24,-16,0.033997029066085815
2014-03-19,rate_decision,2014-02-25,-15,0.03452634811401367
2014-03-19,rate_decision,2014-02-26,-14,0.03180328384041786
2014-03-19,rate_decision,2014-02-27,-13,0.03343943879008293
2014-03-19,rate_decision,2014-02-28,-12,0.028958873823285103
2014-03-19,rate_decision,2014-03-03,-11,0.027173172682523727
2014-03-19,rate_decision,2014-03-04,-10,0.030670607462525368
2014-03-19,rate_decision,2014-03-05,-9,0.027414148673415184
2014-03-19,rate_decision,2014-03-06,-8,0.028430931270122528
2014-03-19,rate_decision,2014-03-07,-7,0.03419749438762665
2014-03-19,rate_decision,2014-03-10,-6,0.03379366174340248
2014-03-19,rate_decision,2014-03-11,-5,0.03317980468273163
2014-03-19,rate_decision,2014-03-12,-4,0.03336649760603905
2014-03-19,rate_decision,2014-03-13,-3,0.033201396465301514
2014-03-19,rate_decision,2014-03-14,-2,0.02733074314892292
2014-03-19,rate_decision,2014-03-17,-1,0.024857591837644577
2014-03-19,rate_decision,2014-03-18,0,0.02412678487598896
2014-03-19,current_policy_stance,2014-01-30,-32,0.03130168840289116
2014-03-19,current_policy_stance,2014-01-31,-31,0.028940659016370773
2014-03-19,current_policy_stance,2014-02-03,-30,0.028808772563934326
2014-03-19,current_policy_stance,2014-02-04,-29,0.02994593419134617
2014-03-19,current_policy_stance,2014-02-05,-28,0.029058413580060005
2014-03-19,current_policy_stance,2014-02-06,-27,0.029482338577508926
2014-03-19,current_policy_stance,2014-02-07,-26,0.030794013291597366
2014-03-19,current_policy_stance,2014-02-10,-25,0.032670147716999054
2014-03-19,current_policy_stance,2014-02-11,-24,0.0314677394926548
2014-03-19,current_policy_stance,2014-02-12,-23,0.03227368742227554
2014-03-19,current_policy_stance,2014-02-13,-22,0.03173593059182167
2014-03-19,current_policy_stance,2014-02-14,-21,0.029900314286351204
2014-03-19,current_policy_stance,2014-02-18,-20,0.03164241835474968
2014-03-19,current_policy_stance,2014-02-19,-19,0.032002076506614685
