meeting_date,event_token,price_date,business_day_offset,attention
2020-04-29,rate_decision,2020-01-30,-61,0.01709922030568123
2020-04-29,rate_decision,2020-01-31,-60,0.018743518739938736
2020-04-29,rate_decision,2020-02-03,-59,0.02338895946741104
2020-04-29,rate_decision,2020-02-04,-58,0.02120758220553398
2020-04-29,rate_decision,2020-02-05,-57,0.021206125617027283
2020-04-29,rate_decision,2020-02-06,-56,0.01997123286128044
2020-04-29,rate_decision,2020-02-07,-55,0.01873229444026947
2020-04-29,rate_decision,2020-02-10,-54,0.02050703763961792
2020-04-29,rate_decision,2020-02-11,-53,0.019402358680963516
2020-04-29,rate_decision,2020-02-12,-52,0.01987506076693535
2020-04-29,rate_decision,2020-02-13,-51,0.019944360479712486
2020-04-29,rate_decision,2020-02-14,-50,0.01857404224574566
2020-04-29,rate_decision,2020-02-18,-49,0.019811192527413368
2020-04-29,rate_decision,2020-02-19,-48,0.018870748579502106
2020-04-29,rate_decision,2020-02-20,-47,0.018124481663107872
2020-04-29,rate_decision,2020-02-21,-46,0.016708824783563614
2020-04-29,rate_decision,2020-02-24,-45,0.017636634409427643
2020-04-29,rate_decision,2020-02-25,-44,0.018815793097019196
2020-04-29,rate_decision,2020-02-26,-43,0.018290968611836433
2020-04-29,rate_decision,2020-02-27,-42,0.01734735816717148
2020-04-29,rate_decision,2020-02-28,-41,0.018814988434314728
2020-04-29,rate_decision,2020-03-02,-40,0.017934534698724747
2020-04-29,rate_decision,2020-03-03,-39,0.018390081822872162
2020-04-29,rate_decision,2020-03-04,-38,0.01780003122985363
2020-04-29,rate_decision,2020-03-05,-37,0.01653987355530262
2020-04-29,rate_decision,2020-03-06,-36,0.016051821410655975
2020-04-29,rate_decision,2020-03-09,-35,0.016229789704084396
2020-04-29,rate_decision,2020-03-10,-34,0.01707456260919571
2020-04-29,rate_decision,2020-03-11,-33,0.017180627211928368
2020-04-29,rate_decision,2020-03-12,-32,0.014526765793561935
2020-04-29,rate_decision,2020-03-13,-31,0.015446869656443596
2020-04-29,rate_decision,2020-03-16,-30,0.016284946352243423
2020-04-29,rate_decision,2020-03-17,-29,0.015341169200837612
2020-04-29,rate_decision,2020-03-18,-28,0.015775594860315323
2020-04-29,rate_decision,2020-03-19,-27,0.013709010556340218
2020-04-29,rate_decision,2020-03-20,-26,0.014090589247643948
2020-04-29,rate_decision,2020-03-23,-25,0.013567243702709675
2020-04-29,rate_decision,2020-03-24,-24,0.01367395929992199
2020-04-29,rate_decision,2020-03-25,-23,0.013085193000733852
2020-04-29,rate_decision,2020-03-26,-22,0.012778135016560555
2020-04-29,rate_decision,2020-03-27,-21,0.01255900226533413
2020-04-29,rate_decision,2020-03-30,-20,0.012724141590297222
2020-04-29,rate_decision,2020-03-31,-19,0.012376154772937298
2020-04-29,rate_decision,2020-04-01,-18,0.011421099305152893
2020-04-29,rate_decision,2020-04-02,-17,0.011667981743812561
2020-04-29,rate_decision,2020-04-03,-16,0.01203140802681446
2020-04-29,rate_decision,2020-04-06,-15,0.012843928299844265
2020-04-29,rate_decision,2020-04-07,-14,0.013109778054058552
2020-04-29,rate_decision,2020-04-08,-13,0.013383082114160061
2020-04-29,rate_decision,2020-04-09,-12,0.01380081381648779
2020-04-29,rate_decision,2020-04-13,-11,0.013921990059316158
2020-04-29,rate_decision,2020-04-14,-10,0.01404908113181591
2020-04-29,rate_decision,2020-04-15,-9,0.012510735541582108
2020-04-29,rate_decision,2020-04-16,-8,0.012650661170482635
2020-04-29,rate_decision,2020-04-17,-7,0.013312463648617268
2020-04-29,rate_decision,2020-04-20,-6,0.012920144014060497
2020-04-29,rate_decision,2020-04-21,-5,0.013079746626317501
2020-04-29,rate_decision,2020-04-22,-4,0.014415493234992027
2020-04-29,rate_decision,2020-04-23,-3,0.016513951122760773
2020-04-29,rate_decision,2020-04-24,-2,0.016238560900092125
2020-04-29,rate_decision,2020-04-27,-1,0.01863950304687023
2020-04-29,rate_decision,2020-04-28,0,0.017276687547564507
2020-04-29,current_policy_stance,2020-01-30,-61,0.016653534024953842
2020-04-29,current_policy_stance,2020-01-31,-60,0.01702592335641384
2020-04-29,current_policy_stance,2020-02-03,-59,0.018255364149808884
2020-04-29,current_policy_stance,2020-02-04,-58,0.018012965098023415
2020-04-29,current_policy_stance,2020-02-05,-57,0.017391126602888107
2020-04-29,current_policy_stance,2020-02-06,-56,0.018191011622548103
2020-04-29,current_policy_stance,2020-02-07,-55,0.01878310739994049
2020-04-29,current_policy_stance,2020-02-10,-54,0.018906401470303535
2020-04-29,current_policy_stance,2020-02-11,-53,0.01935034990310669
2020-04-29,current_policy_stance,2020-02-12,-52,0.017539482563734055
2020-04-29,current_policy_stance,2020-02-13,-51,0.017809605225920677
2020-04-29,current_policy_stance,2020-02-14,-50,0.018290957435965538
2020-04-29,current_policy_stance,2020-02-18,-49,0.01660745218396187
2020-04-29,current_policy_stance,2020-02-19,-48,0.01625342108309269
2020-04-29,current_policy_stance,2020-02-20,-47,0.014782565645873547
