meeting_date,event_token,price_date,business_day_offset,attention
2005-03-22,rate_decision,2005-02-03,-31,0.027396926656365395
2005-03-22,rate_decision,2005-02-04,-30,0.024928489699959755
2005-03-22,rate_decision,2005-02-07,-29,0.02449694648385048
2005-03-22,rate_decision,2005-02-08,-28,0.02927430346608162
2005-03-22,rate_decision,2005-02-09,-27,0.03055829554796219
2005-03-22,rate_decision,2005-02-10,-26,0.03241102769970894
2005-03-22,rate_decision,2005-02-11,-25,0.03572779521346092
2005-03-22,rate_decision,2005-02-14,-24,0.037125345319509506
2005-03-22,rate_decision,2005-02-15,-23,0.033362530171871185
2005-03-22,rate_decision,2005-02-16,-22,0.034394893795251846
2005-03-22,rate_decision,2005-02-17,-21,0.033462733030319214
2005-03-22,rate_decision,2005-02-18,-20,0.03117945045232773
2005-03-22,rate_decision,2005-02-22,-19,0.029961807653307915
2005-03-22,rate_decision,2005-02-23,-18,0.03000011295080185
2005-03-22,rate_decision,2005-02-24,-17,0.03160843253135681
2005-03-22,rate_decision,2005-02-25,-16,0.03066927380859852
2005-03-22,rate_decision,2005-02-28,-15,0.03097621165215969
2005-03-22,rate_decision,2005-03-01,-14,0.030289895832538605
2005-03-22,rate_decision,2005-03-02,-13,0.02912239544093609
2005-03-22,rate_decision,2005-03-03,-12,0.029805246740579605
2005-03-22,rate_decision,2005-03-04,-11,0.03234563022851944
2005-03-22,rate_decision,2005-03-07,-10,0.0380684956908226
2005-03-22,rate_decision,2005-03-08,-9,0.033515311777591705
2005-03-22,rate_decision,2005-03-09,-8,0.03278997540473938
2005-03-22,rate_decision,2005-03-10,-7,0.03163299337029457
2005-03-22,rate_decision,2005-03-11,-6,0.02847367152571678
2005-03-22,rate_decision,2005-03-14,-5,0.02734130062162876
2005-03-22,rate_decision,2005-03-15,-4,0.028867391869425774
2005-03-22,rate_decision,2005-03-16,-3,0.030128788203001022
2005-03-22,rate_decision,2005-03-17,-2,0.03241690993309021
2005-03-22,rate_decision,2005-03-18,-1,0.03488680720329285
2005-03-22,rate_decision,2005-03-21,0,0.032780639827251434
2005-03-22,current_policy_stance,2005-02-03,-31,0.02116950787603855
2005-03-22,current_policy_stance,2005-02-04,-30,0.022394314408302307
2005-03-22,current_policy_stance,2005-02-07,-29,0.02174188382923603
2005-03-22,current_policy_stance,2005-02-08,-28,0.022586684674024582
2005-03-22,current_policy_stance,2005-02-09,-27,0.02865225076675415
2005-03-22,current_policy_stance,2005-02-10,-26,0.03542371839284897
2005-03-22,current_policy_stance,2005-02-11,-25,0.03771489858627319
2005-03-22,current_policy_stance,2005-02-14,-24,0.03992544114589691
2005-03-22,current_policy_stance,2005-02-15,-23,0.04125351831316948
2005-03-22,current_policy_stance,2005-02-16,-22,0.03711966425180435
2005-03-22,current_policy_stance,2005-02-17,-21,0.03744992986321449
2005-03-22,current_policy_stance,2005-02-18,-20,0.037983089685440063
2005-03-22,current_policy_stance,2005-02-22,-19,0.03473173454403877
2005-03-22,current_policy_stance,2005-02-23,-18,0.032071828842163086
2005-03-22,current_policy_stance,2005-02-24,-17,0.03037712536752224
2005-03-22,current_policy_stance,2005-02-25,-16,0.03058886155486107
2005-03-22,current_policy_stance,2005-02-28,-15,0.031321506947278976
2005-03-22,current_policy_stance,2005-03-01,-14,0.02699686586856842
2005-03-22,current_policy_stance,2005-03-02,-13,0.026297666132450104
2005-03-22,current_policy_stance,2005-03-03,-12,0.025875676423311234
2005-03-22,current_policy_stance,2005-03-04,-11,0.026828179135918617
2005-03-22,current_policy_stance,2005-03-07,-10,0.03963392600417137
2005-03-22,current_policy_stance,2005-03-08,-9,0.03744787350296974
2005-03-22,current_policy_stance,2005-03-09,-8,0.036998145282268524
2005-03-22,current_policy_stance,2005-03-10,-7,0.03177538886666298
2005-03-22,current_policy_stance,2005-03-11,-6,0.0325503870844841
2005-03-22,current_policy_stance,2005-03-14,-5,0.02996097505092621
2005-03-22,current_policy_stance,2005-03-15,-4,0.0253293476998806
2005-03-22,current_policy_stance,2005-03-16,-3,0.02738306112587452
2005-03-22,current_policy_stance,2005-03-17,-2,0.027913153171539307
2005-03-22,current_policy_stance,2005-03-18,-1,0.03179657459259033
2005-03-22,current_policy_stance,2005-03-21,0,0.030706848949193954
2005-03-22,policy_stance_shift,2005-02-03,-31,0.019717682152986526
2005-03-22,policy_stance_shift,2005-02-04,-30,0.021355271339416504
2005-03-22,policy_stance_shift,2005-02-07,-29,0.020612021908164024
2005-03-22,policy_stance_shift,2005-02-08,-28,0.021529536694288254
2005-03-22,policy_stance_shift,2005-02-09,-27,0.027997450903058052
2005-03-22,policy_stance_shift,2005-02-10,-26,0.035283129662275314
2005-03-22,policy_stance_shift,2005-02-11,-25,0.03729779273271561
2005-03-22,policy_stance_shift,2005-02-14,-24,0.039165280759334564
2005-03-22,policy_stance_shift,2005-02-15,-23,0.04173602536320686
2005-03-22,policy_stance_shift,2005-02-16,-22,0.03733734413981438
2005-03-22,policy_stance_shift,2005-02-17,-21,0.03832395374774933
2005-03-22,policy_stance_shift,2005-02-18,-20,0.03814130648970604
2005-03-22,policy_stance_shift,2005-02-22,-19,0.034551702439785004
2005-03-22,policy_stance_shift,2005-02-23,-18,0.03214569762349129
2005-03-22,policy_stance_shift,2005-02-24,-17,0.030665811151266098
2005-03-22,policy_stance_shift,2005-02-25,-16,0.03173435479402542
2005-03-22,policy_stance_shift,2005-02-28,-15,0.031257450580596924
2005-03-22,policy_stance_shift,2005-03-01,-14,0.027086997404694557
2005-03-22,policy_stance_shift,2005-03-02,-13,0.026126140728592873
2005-03-22,policy_stance_shift,2005-03-03,-12,0.026110924780368805
2005-03-22,policy_stance_shift,2005-03-04,-11,0.027937183156609535
2005-03-22,policy_stance_shift,2005-03-07,-10,0.04070432484149933
2005-03-22,policy_stance_shift,2005-03-08,-9,0.03897324576973915
2005-03-22,policy_stance_shift,2005-03-09,-8,0.0361463837325573
2005-03-22,policy_stance_shift,2005-03-10,-7,0.03158925473690033
2005-03-22,policy_stance_shift,2005-03-11,-6,0.031677380204200745
2005-03-22,policy_stance_shift,2005-03-14,-5,0.030018404126167297
2005-03-22,policy_stance_shift,2005-03-15,-4,0.02529822662472725
2005-03-22,policy_stance_shift,2005-03-16,-3,0.02774903178215027
2005-03-22,policy_stance_shift,2005-03-17,-2,0.028694313019514084
2005-03-22,policy_stance_shift,2005-03-18,-1,0.032714106142520905
2005-03-22,policy_stance_shift,2005-03-21,0,0.030322274193167686
2005-03-22,expected_rate_path_shift,2005-02-03,-31,0.019119592383503914
2005-03-22,expected_rate_path_shift,2005-02-04,-30,0.02156103029847145
2005-03-22,expected_rate_path_shift,2005-02-07,-29,0.02085817977786064
2005-03-22,expected_rate_path_shift,2005-02-08,-28,0.021291539072990417
2005-03-22,expected_rate_path_shift,2005-02-09,-27,0.028098782524466515
2005-03-22,expected_rate_path_shift,2005-02-10,-26,0.03550472483038902
2005-03-22,expected_rate_path_shift,2005-02-11,-25,0.03665827959775925
2005-03-22,expected_rate_path_shift,2005-02-14,-24,0.03943956270813942
2005-03-22,expected_rate_path_shift,2005-02-15,-23,0.04212668538093567
2005-03-22,expected_rate_path_shift,2005-02-16,-22,0.037365302443504333
2005-03-22,expected_rate_path_shift,2005-02-17,-21,0.03842753544449806
2005-03-22,expected_rate_path_shift,2005-02-18,-20,0.0381166897714138
2005-03-22,expected_rate_path_shift,2005-02-22,-19,0.03430766612291336
2005-03-22,expected_rate_path_shift,2005-02-23,-18,0.03177037462592125
2005-03-22,expected_rate_path_shift,2005-02-24,-17,0.02996383234858513
2005-03-22,expected_rate_path_shift,2005-02-25,-16,0.031589433550834656
2005-03-22,expected_rate_path_shift,2005-02-28,-15,0.03086833655834198
2005-03-22,expected_rate_path_shift,2005-03-01,-14,0.026898082345724106
2005-03-22,expected_rate_path_shift,2005-03-02,-13,0.026055792346596718
2005-03-22,expected_rate_path_shift,2005-03-03,-12,0.025638878345489502
2005-03-22,expected_rate_path_shift,2005-03-04,-11,0.027681659907102585
2005-03-22,expected_rate_path_shift,2005-03-07,-10,0.04093625396490097
2005-03-22,expected_rate_path_shift,2005-03-08,-9,0.03935658931732178
2005-03-22,expected_rate_path_shift,2005-03-09,-8,0.035831619054079056
2005-03-22,expected_rate_path_shift,2005-03-10,-7,0.031779639422893524
2005-03-22,expected_rate_path_shift,2005-03-11,-6,0.031377650797367096
2005-03-22,expected_rate_path_shift,2005-03-14,-5,0.02988104149699211
2005-03-22,expected_rate_path_shift,2005-03-15,-4,0.025095323100686073
2005-03-22,expected_rate_path_shift,2005-03-16,-3,0.02761593461036682
2005-03-22,expected_rate_path_shift,2005-03-17,-2,0.029543263837695122
2005-03-22,expected_rate_path_shift,2005-03-18,-1,0.034347619861364365
2005-03-22,expected_rate_path_shift,2005-03-21,0,0.030893143266439438
2005-03-22,inflation_assessment_shift,2005-02-03,-31,0.01954568922519684
2005-03-22,inflation_assessment_shift,2005-02-04,-30,0.021714281290769577
2005-03-22,inflation_assessment_shift,2005-02-07,-29,0.02057870849967003
2005-03-22,inflation_assessment_shift,2005-02-08,-28,0.02117314003407955
2005-03-22,inflation_assessment_shift,2005-02-09,-27,0.027093203738331795
2005-03-22,inflation_assessment_shift,2005-02-10,-26,0.03464176505804062
2005-03-22,inflation_assessment_shift,2005-02-11,-25,0.03648705780506134
2005-03-22,inflation_assessment_shift,2005-02-14,-24,0.039140745997428894
2005-03-22,inflation_assessment_shift,2005-02-15,-23,0.04160479083657265
2005-03-22,inflation_assessment_shift,2005-02-16,-22,0.03726877644658089
2005-03-22,inflation_assessment_shift,2005-02-17,-21,0.03890663757920265
2005-03-22,inflation_assessment_shift,2005-02-18,-20,0.03770776465535164
2005-03-22,inflation_assessment_shift,2005-02-22,-19,0.03374996408820152
2005-03-22,inflation_assessment_shift,2005-02-23,-18,0.03149426728487015
2005-03-22,inflation_assessment_shift,2005-02-24,-17,0.030094392597675323
2005-03-22,inflation_assessment_shift,2005-02-25,-16,0.03165177255868912
2005-03-22,inflation_assessment_shift,2005-02-28,-15,0.030873151496052742
2005-03-22,inflation_assessment_shift,2005-03-01,-14,0.027835479006171227
2005-03-22,inflation_assessment_shift,2005-03-02,-13,0.026156824082136154
2005-03-22,inflation_assessment_shift,2005-03-03,-12,0.025733351707458496
2005-03-22,inflation_assessment_shift,2005-03-04,-11,0.027717484161257744
2005-03-22,inflation_assessment_shift,2005-03-07,-10,0.04045166075229645
2005-03-22,inflation_assessment_shift,2005-03-08,-9,0.0383477620780468
2005-03-22,inflation_assessment_shift,2005-03-09,-8,0.03573958948254585
2005-03-22,inflation_assessment_shift,2005-03-10,-7,0.032755620777606964
2005-03-22,inflation_assessment_shift,2005-03-11,-6,0.03218163549900055
2005-03-22,inflation_assessment_shift,2005-03-14,-5,0.030811816453933716
2005-03-22,inflation_assessment_shift,2005-03-15,-4,0.025722891092300415
2005-03-22,inflation_assessment_shift,2005-03-16,-3,0.02819155715405941
2005-03-22,inflation_assessment_shift,2005-03-17,-2,0.029529603198170662
2005-03-22,inflation_assessment_shift,2005-03-18,-1,0.03469148650765419
2005-03-22,inflation_assessment_shift,2005-03-21,0,0.030407113954424858
2005-03-22,inflation_risk_shift,2005-02-03,-31,0.019430464133620262
2005-03-22,inflation_risk_shift,2005-02-04,-30,0.021100439131259918
2005-03-22,inflation_risk_shift,2005-02-07,-29,0.02039983496069908
2005-03-22,inflation_risk_shift,2005-02-08,-28,0.02126305364072323
2005-03-22,inflation_risk_shift,2005-02-09,-27,0.02769450843334198
2005-03-22,inflation_risk_shift,2005-02-10,-26,0.034541573375463486
2005-03-22,inflation_risk_shift,2005-02-11,-25,0.03694695979356766
2005-03-22,inflation_risk_shift,2005-02-14,-24,0.03923960030078888
2005-03-22,inflation_risk_shift,2005-02-15,-23,0.041501082479953766
2005-03-22,inflation_risk_shift,2005-02-16,-22,0.037227824330329895
2005-03-22,inflation_risk_shift,2005-02-17,-21,0.03861774131655693
2005-03-22,inflation_risk_shift,2005-02-18,-20,0.03783319145441055
2005-03-22,inflation_risk_shift,2005-02-22,-19,0.03398633003234863
2005-03-22,inflation_risk_shift,2005-02-23,-18,0.03224743902683258
